 show conn | grep outside2.*172.22.0.11
TCP outside2 177.138.141.112:58269 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 2134, flags UIOB
TCP outside2 191.34.31.79:57724 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 1835, flags UIOB
TCP outside2 177.95.51.157:50715 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 189.101.183.169:8804 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3578, flags UIOB
TCP outside2 189.32.49.139:57589 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 5488, flags UIOB
TCP outside2 189.101.183.169:8803 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 1654, flags UIOB
TCP outside2 200.95.195.178:27594 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3610, flags UIOB
TCP outside2 189.115.102.244:52585 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3610, flags UIOB
TCP outside2 177.11.176.169:24135 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3402, flags UIOB
TCP outside2 177.95.51.157:50714 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3226, flags UIOB
TCP outside2 177.95.51.157:50713 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3562, flags UIOB
TCP outside2 191.189.56.202:49782 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3450, flags UIOB
TCP outside2 192.100.177.5:13113 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 5935, flags UIOB
TCP outside2 200.155.163.170:55302 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 5482, flags UIOB
TCP outside2 186.201.175.82:50044 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3306, flags UIOB
TCP outside2 191.187.101.32:51463 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 179.222.166.136:55646 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 1702, flags UIOB
TCP outside2 189.79.162.250:50876 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 6554, flags UIOB
TCP outside2 177.94.205.42:2213 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3450, flags UIOB
<--- More --->
              TCP outside2 187.35.89.86:53041 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 131.100.45.209:55674 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3356, flags UIOB
TCP outside2 187.35.89.86:53040 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 187.35.89.86:53037 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 187.50.214.35:59210 pje-dmz 172.22.0.11:80, idle 0:00:00, bytes 0, flags UB
TCP outside2 187.35.89.86:53038 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3552, flags UIOB
TCP outside2 186.194.238.228:56085 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3450, flags UIOB
TCP outside2 177.72.39.44:28977 pje-dmz 172.22.0.11:80, idle 0:00:00, bytes 772, flags UIOB
TCP outside2 186.222.68.159:61237 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3594, flags UIOB
TCP outside2 187.39.158.131:50782 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 1007, flags UIOB
TCP outside2 192.100.177.5:13100 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 48448, flags UIOB
TCP outside2 189.103.24.53:50533 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 13095, flags UIOB
TCP outside2 187.35.89.86:53036 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 1718, flags UIOB
TCP outside2 200.95.195.178:44268 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 5474, flags UIOB
TCP outside2 187.50.199.201:63723 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
